"OBJECTID","PIN","PARCELNB","TOWNSHIP","SECTION_","BLOCK","PARCEL","SHAPE_STAr","SHAPE_STLe","Acres"
2833,"172100000016","0172100000016","1721","000","00","016",26830786.65770000000,26543.75907110000,24927
2834,"172100000015","0172100000015","1721","000","00","015",26900276.04740000000,20650.90577610000,24991
2835,"172100000017","0172100000017","1721","000","00","017",25731465.29350000000,99200.25427720000,23905
2836,"172100000018","0172100000018","1721","000","00","018",27272862.67580000000,34528.48367120000,25337
2837,"172100000019","0172100000019","1721","000","00","019",27140756.28520000000,20478.72117610000,25215
2838,"172100000008","0172100000008","1721","000","00","008",72048.80810550000,1208.43758850000,67
2839,"172300000001","0172300000001","1723","000","00","001",27391359.75880000000,20933.23479870000,25448
2840,"172300000262","0172300000262","1723","000","00","262",1562186.75635000000,6430.87831715000,1451
2841,"172300000126","0172300000126","1723","000","00","126",120578.51757800000,1397.38224563000,112
2842,"172300008001","0172300008001","1723","000","08","001",214249.67578100000,1942.72046577000,199
2843,"172303100001","0172303100001","1723","031","00","001",866061.94482400000,3923.27865297000,805
2844,"172300000180","0172300000180","1723","000","00","180",842651.87988300000,3877.95876260000,783
2845,"172300000223","0172300000223","1723","000","00","223",431559.99316400000,3251.05242809000,401
2846,"172300000179","0172300000179","1723","000","00","179",429388.88916000000,3247.67314475000,399
2847,"172300000156","0172300000156","1723","000","00","156",86485.72656250000,1176.72873946000,80
2849,"172300000127","0172300000127","1723","000","00","127",211011.31738300000,1927.37617032000,196
2850,"172300000128","0172300000128","1723","000","00","128",1274204.02832000000,5213.15071842000,1184
2851,"172300000221","0172300000221","1723","000","00","221",143631.17578100000,1516.27346193000,133
2852,"172303200001","0172303200001","1723","032","00","001",215790.64990200000,1997.95248899000,200
2853,"172303200002","0172303200002","1723","032","00","002",1728815.96094000000,7114.28579840000,1606
2858,"172300000222","0172300000222","1723","000","00","222",598647.15087900000,3119.27078010000,556
2860,"172300000021","0172300000021","1723","000","00","021",470421.97119100000,4391.89201420000,437
2862,"172300000281","0172300000281","1723","000","00","281",906548.27978500000,6550.59571309000,842
2863,"172300010002","0172300010002","1723","000","10","002",97344.43164060000,1280.31794908000,90
2864,"172300010001","0172300010001","1723","000","10","001",97313.33691410000,1280.06802249000,90
2865,"172300010003","0172300010003","1723","000","10","003",97422.02490230000,1280.92558845000,91
2866,"172300010005","0172300010005","1723","000","10","005",121609.47314500000,1404.15903881000,113
2867,"172300010004","0172300010004","1723","000","10","004",107149.40527300000,1346.24393840000,100
2868,"172300010006","0172300010006","1723","000","10","006",104510.95166000000,1358.26147464000,97
2869,"172300011001","0172300011001","1723","000","11","001",97478.85351560000,1281.39957934000,91
2870,"172300011002","0172300011002","1723","000","11","002",97478.90283200000,1281.39982825000,91
2871,"172300011003","0172300011003","1723","000","11","003",97478.98291020000,1281.40032826000,91
2872,"172300011004","0172300011004","1723","000","11","004",96531.20800780000,1252.98688953000,90
2873,"172300011005","0172300011005","1723","000","11","005",90022.70263670000,1221.41924288000,84
2874,"172300011006","0172300011006","1723","000","11","006",90022.82421880000,1221.41999172000,84
2875,"172300011007","0172300011007","1723","000","11","007",90022.88623050000,1221.42049171000,84
2876,"172300011008","0172300011008","1723","000","11","008",90022.79589840000,1221.41999174000,84
2877,"172300010007","0172300010007","1723","000","10","007",90259.17431640000,1222.74968486000,84
2878,"172300000048","0172300000048","1723","000","00","048",2932491.27002000000,7098.86910735000,2724
2879,"172300000264","0172300000264","1723","000","00","264",6663856.92969000000,12425.96466370000,6191
2881,"172300000050","0172300000050","1723","000","00","050",3556483.85889000000,8001.28821286000,3304
2882,"172300000051","0172300000051","1723","000","00","051",7146416.99902000000,18394.14132680000,6639
2883,"172300000049","0172300000049","1723","000","00","049",27628856.54690000000,21031.90832010000,25668
2884,"172300000272","0172300000272","1723","000","00","272",367868.70849600000,3923.51275874000,342
2885,"172300000242","0172300000242","1723","000","00","242",2813107.04443000000,7356.85362725000,2613
2886,"172300000241","0172300000241","1723","000","00","241",4263981.10010000000,8518.70188541000,3961
2887,"172300000271","0172300000271","1723","000","00","271",743075.20459000000,7497.04316429000,690
2888,"172300000052","0172300000052","1723","000","00","052",194715.24658200000,2274.43150065000,181
2889,"172300000053","0172300000053","1723","000","00","053",2267388.34033000000,8598.47183550000,2106
2890,"172300000054","0172300000054","1723","000","00","054",2466728.07373000000,7167.86022191000,2292
2891,"172314100001","0172314100001","1723","141","00","001",20011970.39650000000,31368.27940470000,18592
2892,"172315201001","0172315201001","1723","152","01","001",153585.90283200000,1600.03408206000,143
2894,"172300000246","0172300000246","1723","000","00","246",7115889.71338000000,10646.45951600000,6611
2895,"172300000060","0172300000060","1723","000","00","060",1012361.91406000000,10474.56953200000,941
2898,"172300012004","0172300012004","1723","000","12","004",1522989.82666000000,5520.32030041000,1415
2902,"172300000265","0172300000265","1723","000","00","265",4696877.26904000000,9240.81340129000,4364
2903,"172300000097","0172300000097","1723","000","00","097",4696877.26904000000,9240.81340129000,4364
2904,"172300000258","0172300000258","1723","000","00","258",1540650.71338000000,7296.30688748000,1431
2905,"172300000098","0172300000098","1723","000","00","098",3640118.02051000000,10496.28440240000,3382
2906,"172300012003","0172300012003","1723","000","12","003",435403.64502000000,2802.90705079000,405
2907,"172300012002","0172300012002","1723","000","12","002",435252.62548800000,2802.25899972000,404
2908,"172300000178","0172300000178","1723","000","00","178",27941705.18550000000,21145.78807440000,25959
2910,"172300000177","0172300000177","1723","000","00","177",26601868.83150000000,64788.66083800000,24714
2911,"172300000175","0172300000175","1723","000","00","175",28097978.11720000000,21202.71570000000,26104
2912,"172300000176","0172300000176","1723","000","00","176",26817141.76710000000,25168.37278590000,24914
2913,"172300000092","0172300000092","1723","000","00","092",2442591.52441000000,7102.48523960000,2269
2914,"172300000093","0172300000093","1723","000","00","093",2490198.28809000000,7230.45395840000,2313
2915,"172300000266","0172300000266","1723","000","00","266",10966897.41210000000,13239.62370890000,10189
2916,"172300000094","0172300000094","1723","000","00","094",1301314.35889000000,4673.33875601000,1209
2917,"172300000260","0172300000260","1723","000","00","260",1752380.02490000000,6620.79633366000,1628
2918,"172300000091","0172300000091","1723","000","00","091",2437890.68896000000,7099.12015628000,2265
2921,"172300000172","0172300000172","1723","000","00","172",26294517.45460000000,20520.58531640000,24429
2922,"172300000105","0172300000105","1723","000","00","105",1159880.50830000000,6125.88766864000,1078
2923,"172300000104","0172300000104","1723","000","00","104",1159784.27002000000,6125.54174375000,1077
2924,"172300000103","0172300000103","1723","000","00","103",1159732.79590000000,6125.23686494000,1077
2925,"172300012001","0172300012001","1723","000","12","001",436262.86230500000,2791.97120146000,405
2933,"172300000106","0172300000106","1723","000","00","106",6881354.38428000000,10487.04456340000,6393
2935,"172328102051","0172328102051","1723","281","02","051",142701.50000000000,2884.68775694000,133
2936,"172328102052","0172328102052","1723","281","02","052",653097.07275400000,7380.75180266000,607
2937,"172328102053","0172328102053","1723","281","02","053",129391.70898400000,3431.86959910000,120
2938,"172328102054","0172328102054","1723","281","02","054",1715792.52051000000,7275.61440472000,1594
3253,"172321401014","0172321401014","1723","214","01","014",510029.96484400000,3001.13743546000,474
3255,"172321401012","0172321401012","1723","214","01","012",319856.42578100000,4006.27609831000,297
3256,"172321401065","0172321401065","1723","214","01","065",912378.58886700000,4434.90493520000,848
3257,"172321401066","0172321401066","1723","214","01","066",162208.16796900000,1914.06729510000,151
3261,"172321419001","0172321419001","1723","214","19","001",78568.97412110000,1112.77727601000,73
3264,"172321412025","0172321412025","1723","214","12","025",142426.72412100000,1619.07847460000,132
3267,"172321114050","0172321114050","1723","211","14","050",205162.94238300000,1896.03143499000,191
3271,"172321110012","0172321110012","1723","211","10","012",839936.25537100000,3852.46480787000,780
3272,"172321120001","0172321120001","1723","211","20","001",70953.87402340000,1067.15585821000,66
3278,"172321101048","0172321101048","1723","211","01","048",251694.25683600000,2356.31483441000,234
3289,"172321121001","0172321121001","1723","211","21","001",1192745.52295000000,4307.43139939000,1108
3893,"172321401011","0172321401011","1723","214","01","011",1197520.69775000000,4447.61525536000,1113
3895,"172322101001","0172322101001","1723","221","01","001",706115.93945300000,3460.79339835000,656
3896,"172323100002","0172323100002","1723","231","00","002",40540886.04980000000,41042.40508050000,37664
3897,"172323200001","0172323200001","1723","232","00","001",7800858.87939000000,11568.06943380000,7247
105336,"172102125021","0172102125021","1721","021","25","021",46773.99414060000,1400.26299289000,43
106315,"172101100002","0172101100002","1721","011","00","002",2330320.13232000000,6399.94746825000,2165
106322,"172101001029","0172101001029","1721","010","01","029",102412.35058600000,1430.60246138000,95
106323,"172101004003","0172101004003","1721","010","04","003",107453.00244100000,1410.63675742000,100
106324,"172101004005","0172101004005","1721","010","04","005",87632.22070310000,1259.73771687000,81
106325,"172101004004","0172101004004","1721","010","04","004",124488.33105500000,1510.03558791000,116
106326,"172101005008","0172101005008","1721","010","05","008",98960.40185550000,1266.98352290000,92
106327,"172101001028","0172101001028","1721","010","01","028",102429.79101600000,1430.77546211000,95
106328,"172101005007","0172101005007","1721","010","05","007",99943.59765630000,1258.62834070000,93
106329,"172101005004","0172101005004","1721","010","05","004",102665.08056600000,1275.77466023000,95
106330,"172101001027","0172101001027","1721","010","01","027",102446.32373000000,1430.94547381000,95
106331,"172101004007","0172101004007","1721","010","04","007",103760.99072300000,1379.97182741000,96
106332,"172101004008","0172101004008","1721","010","04","008",108276.59423800000,1387.10188115000,101
106333,"172101004006","0172101004006","1721","010","04","006",88079.53955080000,1233.74319802000,82
106334,"172101001026","0172101001026","1721","010","01","026",102463.79834000000,1431.11849609000,95
106335,"172101005006","0172101005006","1721","010","05","006",109178.82617200000,1312.44915800000,101
106336,"172101005005","0172101005005","1721","010","05","005",109414.81005900000,1312.94184045000,102
106337,"172101001025","0172101001025","1721","010","01","025",102480.17578100000,1431.28749705000,95
106338,"172101004009","0172101004009","1721","010","04","009",107366.65625000000,1381.69919818000,100
